((VBD))((ه))(((‌| | )))((می))(((‌| | )?))((شد))((ه))(((‌| | )))((است))	\1\3_\8‌\13\15_\20
((VBD))((ه))(((‌| | )))((می))(((‌| | )?))((شد))((ه))(((‌| | )))((اند)|(ایم)|(ای)|(اید)|(ام))	\1\3_\8‌\13\15‌\20
((VBD))((ه))(((‌| | )))((شد))((ه))(((‌| | )))((است))	\1\3_\8\10_\15
((VBD))((ه))(((‌| | )))((شد))((ه))(((‌| | )))((اند)|(ایم)|(ای)|(اید)|(ام))	\1\3_\8\10‌\15
((VBD))((ه))(((‌| | )))((می))(((‌| | )?))((شو))((ند)|(م)|(یم)|(ی)|(ید)|(د))	\1\3_\8‌\13\15
((VBD))((ه))(((‌| | )))((می))(((‌| | )?))((شد))((یم)|(ی)|()|(ند)|(م)|(ید))	\1\3_\8‌\13\15
((VBD))((ه))(((‌| | )))((ب))((شو))((ند)|(م)|(یم)|(ی)|(ید)|(د))	\1\3_\8\10\12
((VBD))((ه))(((‌| | )))((ب))((شو))	\1\3_\8\10
((VBD))((ه))(((‌| | )))((شو))((ند)|(م)|(یم)|(ی)|(ید)|(د))	\1\3_\8\10
((VBD))((ه))(((‌| | )))((شد))((یم)|(ی)|()|(ند)|(م)|(ید))	\1\3_\8\10
((خواه))((ند)|(م)|(یم)|(ی)|(ید)|(د))(((‌| | )))((VBD))	\1\3_\13
((VBD))((ه))(((‌| | )))((باش))((ند)|(م)|(یم)|(ی)|(ید)|(د))	\1\3_\8\10
((VBD))((ه))(((‌| | )))((باش))((ی))	\1\3_\8\10
((VBD))((ه))(((‌| | )))((بود))((یم)|(ی)|()|(ند)|(م)|(ید))	\1\3_\8\10
((می))(((‌| | )?))((VBD))((ه))(((‌| | )))((ن))((شد))((ه))(((‌| | )))((است))	\1‌\6\8_\13\15\17_\22\03
((می))(((‌| | )?))((VBD))((ه))(((‌| | )))((ن))((شد))((ه))(((‌| | )))((اند)|(ایم)|(ای)|(اید)|(ام))	\1‌\6\8_\13\15\17‌\22\03
((می))(((‌| | )?))((VBD))((ه))(((‌| | )))((شد))((ه))(((‌| | )))((است))	\1‌\6\8_\13\15_\20
((می))(((‌| | )?))((VBD))((ه))(((‌| | )))((شد))((ه))(((‌| | )))((اند)|(ایم)|(ای)|(اید)|(ام))	\1‌\6\8_\13\15‌\20
((VBD))((ه))(((‌| | )))((است))	\1\3_\8
((VBD))((ه))(((‌| | )))((اند)|(ایم)|(ای)|(اید)|(ام))	\1\3‌\8
((می))(((‌| | )?))((VB))((ند)|(م)|(یم)|(ی)|(ید)|(د))	\1‌\6\8
((می))(((‌| | )?))((VBD))((یم)|(ی)|()|(ند)|(م)|(ید))	\1‌\6\8
((ب))((VB))((ند)|(م)|(یم)|(ی)|(ید)|(د))	\1\3\5
((ب))((VB))	\1\3
((VB))	\1
((VB))((ند)|(م)|(یم)|(ی)|(ید)|(د))	\1\3
((VBD))((یم)|(ی)|()|(ند)|(م)|(ید))	\1\3
